decimalLongitude,decimalLatitude,institutionCode,catalogNumber,geodeticDatum,coordinateUncertaintyInMeters,minimumElevationInMeters,occid,recordID
-65.5333328,-54.8833351,MSC,MSC0008519,unknown,,500,280687,urn:uuid:402f253f-c1ee-46d2-8f08-e91d760b7a84
-64.4,-54.85,CANB,CANB 898211.1,WGS84,1000,520,4113907,urn:uuid:31c1393f-6e48-4dfc-bfeb-7ba6abf5e79c
-64.4,-54.85,CANB,CANB 898212.1,WGS84,1000,520,4113840,urn:uuid:f61ae166-93a7-4f1f-aa01-befd711c9d5b
-64.4000015,-54.8499985,MSC,MSC0008481,unknown,,520,280454,urn:uuid:b8873433-b1bc-43e7-b47b-f1449e973784
-64.4000015,-54.8499985,MSC,MSC0008482,unknown,,520,280465,urn:uuid:6de2dbc4-a4a9-48d2-ae10-b07e97de0beb
-64.6,-54.816667,CANB,CANB 898213.1,WGS84,1000,210,4113842,urn:uuid:20d49fb6-f73d-4cfd-ad91-b5ddc0c53923
-67.8,-54.8,CANB,CANB 898244.1,WGS84,1000,,4115678,urn:uuid:c448b1a9-b1b9-454a-bced-4f43a0175820
-67.8,-54.8,CANB,CANB 898243.1,WGS84,1000,,4115677,urn:uuid:98b2cf20-504b-4055-9692-a067943c0377
-67.8000031,-54.7999992,MSC,MSC0008483,unknown,,,280476,urn:uuid:9c5cc9ac-155b-42e6-8b01-3c6daf35eed4
-67.8000031,-54.7999992,MSC,MSC0008484,unknown,,,280487,urn:uuid:2ca54620-55f2-47df-b6c8-7e2ae2f20848
-67.8000031,-54.7999992,MSC,MSC0008485,unknown,,,280498,urn:uuid:7151f1f0-796e-4925-a88b-932fe4ce578f
-65.2833328,-54.7999992,MSC,MSC0008518,unknown,,600,280686,urn:uuid:baab4914-b99a-415f-a0a6-2442d3cac32e
-64.3833313,-54.7833328,MSC,MSC0008507,unknown,,456,280674,urn:uuid:54e34d96-c1d3-4101-a5ae-cac2f696a2ea
-64.016667,-54.766667,CANB,CANB 898209.1,WGS84,1000,,4113905,urn:uuid:3fe3fe43-0d36-4f10-8df0-0bfcf798f7f5
-63.8833351,-54.7666664,MSC,MSC0008517,unknown,,450,280685,urn:uuid:f090dd80-dd7f-433d-8530-c022e96848b4
-64.016667,-54.75,CANB,CANB 898210.1,WGS84,1000,470,4113906,urn:uuid:6a68598d-fd99-4a0b-a9b1-d6fc0e61b0c4
-68.0166702,-54.7166672,MSC,MSC0008511,unknown,,300,280679,urn:uuid:7dd49a97-156a-4c14-8609-defcb8cdda04
-68.1166687,-54.7166672,MSC,MSC0008515,unknown,,970,280683,urn:uuid:717b15ce-0e8a-4ff0-9c67-2d6a04bdd6a4
-68.1166687,-54.7166672,MSC,MSC0008516,unknown,,970,280684,urn:uuid:8cfc797a-ec95-4fd3-bf42-76d371216ed5
-68.116667,-54.716667,CANB,CANB 898249.1,WGS84,1000,970,4115680,urn:uuid:30513e0b-7a4c-4d86-bfb3-2bfa1613ab5a
-68.016667,-54.716667,CANB,CANB 898247.1,WGS84,1000,300,4113947,urn:uuid:31014862-f93d-4c96-aac2-19d5513d4482
-67.75,-54.7000008,MSC,MSC0008512,unknown,,610,280680,urn:uuid:0c43aa8d-bb43-4df1-b641-1dbd27d9c61c
-67.7833328,-54.7000008,MSC,MSC0008513,unknown,,420,280681,urn:uuid:14bfb64c-8248-419d-899a-cdf6c38929c5
-67.7833328,-54.7000008,MSC,MSC0008514,unknown,,420,280682,urn:uuid:2a94da80-da6e-44b5-9af5-0a1227f20e03
-67.783333,-54.7,CANB,CANB 898248.1,WGS84,1000,420,4113948,urn:uuid:628be854-2dcb-4d81-9e69-91aa75a4e81d
-67.833333,-54.666667,F,C2004553F,unknown,,300,4817408,urn:uuid:914d0396-06d1-498b-8158-f255cc8edbcd
-67.7333298,-54.6500015,MSC,MSC0008509,unknown,,110,280676,urn:uuid:54daf6cc-f650-425a-a5c4-aa25da890b5e
-67.7333298,-54.6500015,MSC,MSC0008510,unknown,,110,280678,urn:uuid:82d0c30f-e0fb-4246-adc6-18768cc1090e
-67.733333,-54.65,CANB,CANB 898246.1,WGS84,1000,110,4113946,urn:uuid:9c0faa17-7477-4c72-b409-c9f8959fb8ef
-67.4666672,-54.6166649,MSC,MSC0008508,unknown,,85,280675,urn:uuid:1230cfdb-aeab-4969-b00f-e19db9d3bb0c
-67.3000031,-54.3833351,MSC,MSC0008488,unknown,,,280531,urn:uuid:f63769aa-a9ad-4f73-92ec-97da9b393d29
-67.3,-54.383333,CANB,CANB 898245.1,WGS84,1000,,4115679,urn:uuid:4a4628e9-cc25-41a5-b77f-e6385ddaf92a
-67.25,-54.25,MSC,MSC0008486,unknown,,,280509,urn:uuid:ff06be3f-3119-4d51-8bd5-769299968f40
-36.66861111,-54.15833333,LD,1035375,unknown,,,3927035,urn:uuid:0d3040a1-118e-4f05-8fab-18dd05f74ac8
-36.66861111,-54.15833333,LD,1035567,unknown,,,3927090,urn:uuid:448f3d8a-0894-4c34-b9c9-05fdc5361083
-67.966667,-54.05,CANB,CANB 898242.1,WGS84,1000,,4113945,urn:uuid:fce90cf1-1fcd-43c4-a7f8-c0557e17e4a8
-67.9666672,-54.0499992,MSC,MSC0008504,unknown,,,280671,urn:uuid:9da5c05b-a356-4baf-87a2-e377fd1e2731
-67.44,-53.984,MSC,MSC0008487,unknown,,,280520,urn:uuid:c2be632d-e674-4d78-b8de-46c31e18a313
-67.70946,-53.78769,F,C1015546F,WGS84,88420,10,1169762,urn:uuid:44b3b726-3fbd-4af1-b310-a016ad7e27f7
-67.70946,-53.78769,F,C1015540F,WGS84,88420,10,1169763,urn:uuid:a665140b-99d6-4437-be83-36f04d0c131e
-67.9333344,-53.6666679,MSC,MSC0008505,unknown,,0,280672,urn:uuid:0a70968c-8e4d-4e2c-a4f4-70364b165a94
-67.9333344,-53.6666679,MSC,MSC0008506,unknown,,0,280673,urn:uuid:ecd9a322-58d4-48c1-ba01-b1089077a389
-72.428915,-53.372552,MSC,MSC0008523,WGS84,2860,610,280692,urn:uuid:b4abc6ab-a9ad-4042-946e-b2b320af6f13
-70.90528,-53.16083,GB,GB-0189064,unknown,0,0,3906999,urn:uuid:be6a2890-55f9-42c1-bc12-cfb7bd9bd328
-71.03,-53.155,MSC,MSC0008524,unknown,,624,280693,urn:uuid:61470dda-20e4-4984-a915-b649da0a0cd1
-71.03,-53.155,MSC,MSC0008525,unknown,,624,280694,urn:uuid:c31fa91f-2c8e-4af9-9fc5-4ecf19b5866c
-71.03,-53.155,MSC,MSC0009864,unknown,,624,282892,urn:uuid:0f634cda-a527-4961-8031-93441d1369a7
-69.48332977,-52.15000153,MSC,MSC0008520,unknown,,,280689,urn:uuid:7fc640bf-57dc-4dfa-a6b4-039f8e59e974
-69.4833298,-52.1500015,MSC,MSC0008521,unknown,,,280690,urn:uuid:1cadd4f6-3403-41ed-ad9e-e59ff7a8b4da
-69.4833298,-52.1500015,MSC,MSC0008522,unknown,,265,280691,urn:uuid:33d627d0-d1e7-4bb3-8de0-ed6cf035ced9
-69.6333,-52.0667,TROM,46042/1,WGS84,,130,3857152,urn:uuid:479535d5-e51e-4606-988b-bed6750323c6
-71.985587,-52.04803,DUKE,313869,WGS84,,,1883446,urn:uuid:6c5eb271-89d4-4a45-9560-e9c6b2525fc8
-71.944106,-52.038421,NY,01222274,WGS84,,,891550,urn:uuid:a64bf171-4b01-4316-9206-38f75e304465
-60.9425,-51.91683,MSC,MSC0008476,unknown,,610,280398,urn:uuid:fb49c355-ba90-43a7-a251-89b841591281
-60.9425,-51.91683,MSC,MSC0008478,unknown,,686,280420,urn:uuid:bcc06593-de57-42e4-bb41-e935b4c8d9d6
-60.9425,-51.91683,MSC,MSC0008480,unknown,,658,280443,urn:uuid:fb672344-3139-4422-90b6-932f2a3c6a18
-58.766,-51.7195,MSC,MSC0008475,unknown,,549,280387,urn:uuid:305c5043-c3aa-468e-a4ee-43fd755d6b74
-58.82633,-51.7,MSC,MSC0008437,unknown,,686,279965,urn:uuid:7b515d64-f4e3-4a18-a65b-d64ba3cf9752
-59.601849,-51.619028,MSC,MSC0280358,unknown,,,4791141,urn:uuid:3ef12888-8b02-4cfb-b974-8fad380a611d
