decimalLongitude,decimalLatitude,institutionCode,catalogNumber,geodeticDatum,coordinateUncertaintyInMeters,minimumElevationInMeters,recordID,references
9.1806,62.0286,O,15131,ED50,71,480,7962fb5c-1dde-41dc-9a46-145e179d45e5,https://lichenportal.org/portal/collections/individual/index.php?occid=2021990
8.9053,61.4551,O,17739,ED50,71,1843,12cf46f8-efca-4930-945f-0c90009a2d96,https://lichenportal.org/portal/collections/individual/index.php?occid=2023439
8.5746,61.8383,O,17842,ED50,566,380,9a189158-d6ad-4fb5-b439-525b4641da61,https://lichenportal.org/portal/collections/individual/index.php?occid=2023536
8.5727,61.8392,O,17843,ED50,707,,ac299e09-a6b7-4001-8c00-a1646a6f0ab6,https://lichenportal.org/portal/collections/individual/index.php?occid=2023537
8.5066,61.8165,O,17844,ED50,5000,,07c088f6-30a0-44cb-a631-aae543789778,https://lichenportal.org/portal/collections/individual/index.php?occid=2023538
8.859,61.5345,O,17845,ED50,2121,1200,45090699-b356-4dd0-b177-7dfb8fe00739,https://lichenportal.org/portal/collections/individual/index.php?occid=2023539
8.9952,61.8614,O,17846,ED50,585,450,a553a45a-441a-4fa0-b4d7-fb016e92f8b0,https://lichenportal.org/portal/collections/individual/index.php?occid=2023540
9.0209,61.8663,O,17847,ED50,966,400,e59b06db-6490-401d-ac2e-e7343f3b7cd4,https://lichenportal.org/portal/collections/individual/index.php?occid=2023541
8.9156,61.4448,O,17916,ED50,707,1820,09dcd292-720b-430e-984f-16e470717fac,https://lichenportal.org/portal/collections/individual/index.php?occid=2023609
11.2244,59.4404,O,19501,ED50,71,35,d8467874-ebcc-4c00-886b-794c4d28b42e,https://lichenportal.org/portal/collections/individual/index.php?occid=2024212
11.5841,59.3241,O,23824,ED50,71,120,39f35f54-26a0-4b16-a089-344147c6e0fa,https://lichenportal.org/portal/collections/individual/index.php?occid=2026927
11.6446,59.3328,O,24261,ED50,71,110,bd3e391d-fed4-4d53-aabc-12ffb5d978e2,https://lichenportal.org/portal/collections/individual/index.php?occid=2027352
6.9582,62.9331,O,26773,ED50,71,5,c1fe7e9a-870b-48ee-9f44-31665efe0d87,https://lichenportal.org/portal/collections/individual/index.php?occid=2029657
10.6509,59.3245,O,26983,ED50,814,1,9a521d15-2ff2-4ad6-b564-8f95a8857454,https://lichenportal.org/portal/collections/individual/index.php?occid=2029867
10.6509,59.3245,O,26984,ED50,814,1,d00c13f4-39d5-4643-94b2-301c8a17995f,https://lichenportal.org/portal/collections/individual/index.php?occid=2029868
10.6509,59.3245,O,26985,ED50,814,1,8fb3cc3d-d2fe-4eca-929a-fa78418edc05,https://lichenportal.org/portal/collections/individual/index.php?occid=2029869
11.0398,59.0257,O,26987,ED50,532,1,cf944557-ca52-443f-afe7-3c726ead7449,https://lichenportal.org/portal/collections/individual/index.php?occid=2029871
10.8851,59.0473,O,26988,ED50,1331,1,9463374c-7da4-44d4-ab91-05f3302a05f9,https://lichenportal.org/portal/collections/individual/index.php?occid=2029872
11.1128,59.0793,O,26989,ED50,112,1,fc603210-f2f6-46ae-848b-03ec8679f637,https://lichenportal.org/portal/collections/individual/index.php?occid=2029873
10.9069,59.2213,O,26990,ED50,1504,1,dd6d0411-51ed-47b7-ba20-94a94cf72891,https://lichenportal.org/portal/collections/individual/index.php?occid=2029874
11.6466,59.6517,O,29905,ED50,71,200,87c0f83b-7a82-4ca8-95b3-825eedb95957,https://lichenportal.org/portal/collections/individual/index.php?occid=2032692
10.6541,59.3904,O,30293,ED50,71,5,faeea5c1-ae09-44a9-b653-b66602cc5f97,https://lichenportal.org/portal/collections/individual/index.php?occid=2033079
9.042,62.7154,O,30420,ED50,71,850,639c08bc-2da1-4414-adee-75aa2a66ad5c,https://lichenportal.org/portal/collections/individual/index.php?occid=2033203
11.6578,59.0747,O,30500,ED50,71,175,916132ed-ffb8-4e8e-b942-5b4e11db6c48,https://lichenportal.org/portal/collections/individual/index.php?occid=2033283
11.2754,59.2805,O,30536,ED50,71,45,65fbafa7-790b-45b1-a8d2-88c1b86dbd6c,https://lichenportal.org/portal/collections/individual/index.php?occid=2033319
10.7586,59.3343,O,30561,ED50,71,10,efcdbb3b-8680-4a72-96ed-27ab58e4bd40,https://lichenportal.org/portal/collections/individual/index.php?occid=2033344
11.1825,59.4204,O,30711,ED50,71,30,438a12d0-c668-4f80-9b23-320646125ecc,https://lichenportal.org/portal/collections/individual/index.php?occid=2033493
11.0185,59.1823,O,30783,ED50,71,10,6cdf88ec-71e9-4717-900c-6ea92648883f,https://lichenportal.org/portal/collections/individual/index.php?occid=2033564
